epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1773.86,0.65854,2.70438,0.18622,0.58907,0.96369,0.84113,0.58075,0.68504,0.52267,0.5199,0.30453,0.28095,0.1701,1.04044,5.18784,0.29373,1.63438,1.26383,0.008119,0.008119,0.008119
40,1821.51,0.65278,2.62606,0.18546,0.58368,0.96162,0.80711,0.5597,0.617,0.48499,0.50332,0.29705,0.27153,0.17109,0.98622,5.17978,0.28256,1.90276,1.19802,0.0080695,0.0080695,0.0080695
41,1868.3,0.65691,2.62801,0.18362,0.59657,0.96406,0.89588,0.52413,0.63233,0.48971,0.58044,0.30321,0.29954,0.18386,1.02598,5.1199,0.31032,1.78877,1.21587,0.00802,0.00802,0.00802
42,1916.16,0.64148,2.57226,0.18094,0.57714,0.95713,0.85588,0.53989,0.63202,0.48648,0.55107,0.29968,0.28715,0.17223,0.98639,5.01504,0.24359,1.75986,1.19651,0.0079705,0.0079705,0.0079705
43,1961.41,0.63689,2.613,0.17941,0.57441,0.9523,0.84554,0.55546,0.66828,0.50549,0.49575,0.32009,0.2917,0.17412,1.03428,4.94446,0.27802,1.61267,1.25442,0.007921,0.007921,0.007921
44,2009.83,0.64478,2.59385,0.17805,0.57749,0.95177,0.81226,0.53493,0.62323,0.48006,0.47989,0.31363,0.27725,0.17091,1.00853,5.18173,0.23022,1.73432,1.20119,0.0078715,0.0078715,0.0078715
45,2054.63,0.64244,2.57613,0.17536,0.57418,0.95368,0.82935,0.57225,0.674,0.51319,0.57179,0.31475,0.30138,0.17498,1.07078,5.16427,0.3011,1.60571,1.27805,0.007822,0.007822,0.007822
46,2099.07,0.63146,2.56996,0.18208,0.57227,0.95364,0.82116,0.56698,0.66663,0.51811,0.54142,0.30777,0.31066,0.18863,0.98967,5.03769,0.26348,1.63545,1.1884,0.0077725,0.0077725,0.0077725
47,2143.93,0.63015,2.52333,0.17806,0.56626,0.95397,0.85148,0.58966,0.72486,0.54661,0.56677,0.31559,0.31015,0.17839,1.03629,4.97207,0.32165,1.44452,1.23066,0.007723,0.007723,0.007723
48,2188.44,0.63379,2.53394,0.17948,0.56497,0.95463,0.8058,0.57131,0.67665,0.5277,0.51331,0.31531,0.29226,0.18003,1.00891,5.12521,0.29433,1.62371,1.2235,0.0076735,0.0076735,0.0076735
49,2234.07,0.62003,2.50783,0.17329,0.55134,0.94775,0.86352,0.58132,0.68474,0.53064,0.56141,0.32081,0.30116,0.17833,1.01979,4.98725,0.26312,1.60352,1.23134,0.007624,0.007624,0.007624
50,2279.57,0.62365,2.51478,0.17391,0.55618,0.94696,0.84415,0.5583,0.63679,0.49502,0.54225,0.32954,0.30239,0.17929,1.00732,4.84054,0.26782,1.73377,1.23718,0.0075745,0.0075745,0.0075745
51,2327.11,0.62457,2.45398,0.16671,0.55398,0.94698,0.83042,0.56188,0.6645,0.51185,0.54409,0.31957,0.29614,0.17909,0.96375,4.88924,0.25555,1.70459,1.20419,0.007525,0.007525,0.007525
