epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,431.817,0.4294,1.9798,0.38915,0.39197,0.95943,0.98419,0.97,0.98755,0.95875,0.98957,0.94884,0.97748,0.79485,0.27859,0.84977,0.20664,0.2331,0.80697,0.000424556,0.000424556,0.000424556
73,437.554,0.40912,1.97315,0.38942,0.37779,0.95612,0.98784,0.965,0.98757,0.95919,0.98931,0.955,0.97876,0.79687,0.26602,0.88475,0.20771,0.23213,0.80523,0.000410409,0.000410409,0.000410409
74,444.068,0.43435,2.03662,0.39162,0.38388,0.96417,0.98584,0.95,0.9859,0.96165,0.98891,0.94,0.97611,0.8039,0.26363,0.88359,0.20449,0.24605,0.80531,0.000396262,0.000396262,0.000396262
75,449.827,0.40443,1.89906,0.38274,0.37519,0.94178,0.98979,0.96929,0.98695,0.963,0.98953,0.945,0.97704,0.79908,0.25688,0.90634,0.19735,0.23283,0.80114,0.000382115,0.000382115,0.000382115
76,455.602,0.40959,1.94077,0.39318,0.37299,0.95643,0.97469,0.96292,0.98731,0.96191,0.96967,0.9592,0.98489,0.80209,0.27694,0.88422,0.20206,0.23405,0.80648,0.000367967,0.000367967,0.000367967
77,461.058,0.41425,1.88131,0.38233,0.37849,0.95579,0.97226,0.97,0.98692,0.9626,0.96725,0.965,0.98462,0.81763,0.26021,0.83313,0.19612,0.23649,0.8033,0.00035382,0.00035382,0.00035382
78,467.424,0.40023,1.85863,0.37878,0.3622,0.95392,0.98473,0.96706,0.98713,0.96527,0.98836,0.945,0.97203,0.82355,0.25768,0.82924,0.19976,0.22771,0.80152,0.000339673,0.000339673,0.000339673
79,472.735,0.39599,1.73539,0.37035,0.36571,0.95229,0.98974,0.9643,0.98805,0.96206,0.98889,0.955,0.97823,0.80818,0.26746,0.82839,0.19966,0.22753,0.80535,0.000325526,0.000325526,0.000325526
80,478.292,0.41112,1.91879,0.37367,0.37384,0.95777,0.98703,0.955,0.98642,0.95814,0.98186,0.95,0.98388,0.79809,0.26523,0.8389,0.20275,0.22378,0.80168,0.000311379,0.000311379,0.000311379
81,485.674,0.39612,1.80989,0.37242,0.36562,0.95255,0.99479,0.95456,0.98719,0.96353,0.98958,0.94956,0.98505,0.81082,0.26176,0.82896,0.19705,0.22284,0.79992,0.000297232,0.000297232,0.000297232
